club_id,season,transfer_spending
1,2015,0.0
1,2017,0.0
1,2022,0.0
2,2013,630000.0
2,2014,1000000.0
2,2016,0.0
2,2017,100000.0
2,2020,0.0
2,2021,0.0
2,2022,0.0
3,2014,5300000.0
3,2015,5500000.0
3,2016,3800000.0
3,2017,27000000.0
3,2018,3200000.0
3,2019,20250000.0
3,2020,10300000.0
3,2021,0.0
3,2022,6750000.0
4,2013,2500000.0
4,2014,300000.0
4,2015,0.0
4,2016,90000.0
4,2017,0.0
4,2018,3000000.0
4,2019,4400000.0
4,2020,0.0
4,2021,100000.0
4,2022,0.0
5,2013,4800000.0
5,2014,6600000.0
5,2015,46480000.0
5,2016,9500000.0
5,2017,118300000.0
5,2018,151440000.0
5,2019,108700000.0
5,2020,24220000.0
5,2021,90080000.0
5,2022,59960000.0
6,2013,0.0
6,2016,0.0
6,2017,0.0
6,2018,0.0
6,2019,0.0
6,2020,102000.0
6,2021,0.0
6,2022,0.0
7,2015,0.0
7,2019,2000000.0
7,2020,0.0
7,2021,0.0
8,2013,0.0
8,2014,0.0
9,2019,0.0
9,2020,0.0
9,2021,0.0
9,2022,0.0
10,2014,0.0
10,2017,0.0
10,2018,50000.0
10,2020,0.0
10,2021,5400000.0
10,2022,0.0
11,2013,0.0
11,2014,97730000.0
11,2015,12500000.0
11,2016,72000000.0
11,2017,152850000.0
11,2018,77650000.0
11,2019,144100000.0
11,2020,84000000.0
11,2021,167400000.0
11,2022,186400000.0
12,2013,43290000.0
12,2014,21200000.0
12,2015,23300000.0
12,2016,83300000.0
12,2017,62450000.0
12,2018,121150000.0
12,2019,113900000.0
12,2020,69500000.0
12,2021,118750000.0
12,2022,7400000.0
13,2013,24995000.0
13,2014,91350000.0
13,2015,38000000.0
13,2016,39000000.0
13,2017,35600000.0
13,2018,124500000.0
13,2019,245950000.0
13,2020,81500000.0
13,2021,75700000.0
13,2022,29500000.0
14,2014,920000.0
14,2016,0.0
14,2018,0.0
14,2019,250000.0
14,2020,0.0
14,2021,0.0
14,2022,500000.0
15,2013,21000000.0
15,2014,29005000.0
15,2015,27000000.0
15,2016,37200000.0
15,2017,38500000.0
15,2018,12000000.0
15,2019,99700000.0
15,2020,39200000.0
15,2021,55350000.0
15,2022,15100000.0
16,2013,50400000.0
16,2014,40500000.0
16,2015,2500000.0
16,2016,111100000.0
16,2017,121090000.0
16,2018,60500000.0
16,2019,101000000.0
16,2020,55150000.0
16,2021,45000000.0
16,2022,99500000.0
17,2013,0.0
17,2014,25000.0
17,2015,0.0
17,2017,0.0
17,2018,0.0
17,2019,0.0
17,2020,0.0
17,2021,0.0
17,2022,0.0
18,2013,0.0
18,2014,9000000.0
18,2015,20000000.0
18,2016,27500000.0
18,2017,35000000.0
18,2018,27500000.0
18,2019,40500000.0
18,2020,10800000.0
18,2021,17000000.0
18,2022,24000000.0
19,2013,0.0
19,2015,0.0
19,2016,0.0
19,2017,0.0
19,2018,500000.0
19,2019,9800000.0
19,2020,450000.0
19,2021,0.0
19,2022,1300000.0
20,2013,130000.0
20,2014,2500000.0
20,2015,0.0
20,2016,0.0
20,2017,2050000.0
20,2018,625000.0
20,2019,0.0
20,2021,200000.0
21,2015,0.0
21,2019,0.0
22,2013,903000.0
22,2014,600000.0
22,2015,0.0
22,2016,0.0
22,2017,5500000.0
22,2018,0.0
22,2019,0.0
22,2020,4300000.0
22,2021,0.0
22,2022,0.0
23,2014,0.0
23,2017,1900000.0
23,2021,0.0
23,2022,0.0
24,2013,0.0
24,2014,1000000.0
24,2015,3750000.0
24,2016,1000000.0
24,2017,20100000.0
24,2018,23600000.0
24,2019,69140000.0
24,2020,9000000.0
24,2021,9190000.0
24,2022,28500000.0
25,2014,0.0
25,2015,0.0
25,2016,0.0
25,2019,0.0
26,2013,865000.0
26,2014,2000000.0
26,2015,6000000.0
26,2016,8700000.0
26,2017,4890000.0
26,2018,6750000.0
26,2019,1700000.0
26,2020,9000000.0
26,2021,700000.0
26,2022,15290000.0
27,2013,62000000.0
27,2014,13000000.0
27,2015,12000000.0
27,2016,70000000.0
27,2017,90500000.0
27,2018,14000000.0
27,2019,118000000.0
27,2020,66000000.0
27,2021,57500000.0
27,2022,114500000.0
28,2017,100000.0
28,2018,0.0
28,2019,0.0
28,2020,1500000.0
28,2021,0.0
28,2022,2200000.0
29,2013,19300000.0
29,2014,35360000.0
29,2015,7400000.0
29,2016,42100000.0
29,2017,180700000.0
29,2018,89650000.0
29,2019,109000000.0
29,2020,49770000.0
29,2021,37500000.0
29,2022,83070000.0
30,2014,0.0
30,2015,0.0
30,2017,0.0
30,2018,0.0
30,2019,0.0
30,2020,0.0
30,2021,0.0
30,2022,0.0
31,2013,48400000.0
31,2014,143930000.0
31,2015,39000000.0
31,2016,6200000.0
31,2017,173650000.0
31,2018,132500000.0
31,2019,10400000.0
31,2020,81550000.0
31,2021,89000000.0
31,2022,136400000.0
33,2013,3250000.0
33,2014,0.0
33,2015,10100000.0
33,2016,34500000.0
33,2017,27000000.0
33,2018,36000000.0
33,2019,25000000.0
33,2020,0.0
33,2021,1500000.0
33,2022,7280000.0
34,2016,0.0
34,2019,0.0
34,2020,0.0
34,2022,0.0
35,2013,100000.0
35,2014,1000000.0
35,2015,0.0
35,2016,250000.0
35,2017,0.0
35,2018,500000.0
35,2019,0.0
35,2020,1150000.0
35,2021,1000000.0
35,2022,1300000.0
36,2013,0.0
36,2014,0.0
36,2015,30280000.0
36,2016,0.0
36,2017,1680000.0
36,2018,18690000.0
36,2019,12510000.0
36,2020,15383000.0
36,2021,16850000.0
36,2022,31680000.0
38,2013,500000.0
38,2014,200000.0
38,2015,500000.0
38,2016,500000.0
38,2017,0.0
38,2018,3750000.0
38,2019,6750000.0
38,2020,1350000.0
38,2021,0.0
38,2022,1900000.0
39,2013,2250000.0
39,2014,2250000.0
39,2015,1000000.0
39,2016,21650000.0
39,2017,4750000.0
39,2018,23500000.0
39,2019,29000000.0
39,2020,2000000.0
39,2021,7000000.0
39,2022,21800000.0
40,2014,2500000.0
40,2015,9000000.0
40,2016,5000000.0
40,2017,7500000.0
40,2018,10070000.0
40,2019,12000000.0
40,2020,0.0
40,2021,2000000.0
40,2022,2000000.0
41,2013,0.0
41,2014,0.0
41,2015,9500000.0
41,2016,36850000.0
41,2017,9500000.0
41,2018,1700000.0
41,2019,2800000.0
41,2020,0.0
41,2021,2800000.0
41,2022,6200000.0
42,2013,2800000.0
42,2014,6500000.0
42,2015,3500000.0
42,2016,2200000.0
42,2017,7880000.0
42,2018,11900000.0
42,2019,2650000.0
42,2020,0.0
42,2021,0.0
42,2022,500000.0
43,2013,0.0
43,2014,0.0
43,2015,200000.0
43,2016,200000.0
43,2017,0.0
43,2018,0.0
43,2019,195000.0
43,2020,0.0
43,2021,36000.0
43,2022,470000.0
44,2013,0.0
44,2014,2000000.0
44,2015,6800000.0
44,2016,4200000.0
44,2017,8000000.0
44,2018,10500000.0
44,2019,87000000.0
44,2020,26000000.0
44,2021,26100000.0
44,2022,7350000.0
45,2020,0.0
45,2021,0.0
